Stabilizing video number: 0 with name: Crowd/0.avi
Exaggerated transform parameters in frame 57, X: 47, Y: -1, S: 1, R: 3.1e-10
Exaggerated transform parameters in frame 119, X: 50, Y: -10, S: 1, R: -1.3e-06
Exaggerated transform parameters in frame 120, X: 53, Y: -10, S: 1, R: 2e-07
Exaggerated transform parameters in frame 121, X: 50, Y: -8.3, S: 1, R: -0.0008
Exaggerated transform parameters in frame 122, X: 52, Y: -4.9, S: 1, R: -0.00077
Exaggerated transform parameters in frame 123, X: 55, Y: -1.7, S: 1, R: -0.0021
Exaggerated transform parameters in frame 124, X: 55, Y: -1, S: 1, R: 4.7e-09
Exaggerated transform parameters in frame 125, X: 53, Y: 1, S: 1, R: 4.4e-09
Exaggerated transform parameters in frame 126, X: 53, Y: 3, S: 1, R: -4.2e-08
Exaggerated transform parameters in frame 127, X: 52, Y: 4, S: 1, R: 8.1e-09
Exaggerated transform parameters in frame 128, X: 53, Y: 5, S: 1, R: 8e-08
Exaggerated transform parameters in frame 129, X: 55, Y: 6, S: 1, R: 8.3e-08
Exaggerated transform parameters in frame 130, X: 54, Y: 5.8, S: 1, R: 0.00017
Exaggerated transform parameters in frame 131, X: 55, Y: 5, S: 1, R: 2e-07
Exaggerated transform parameters in frame 132, X: 53, Y: 2.9, S: 1, R: 0.00063
Exaggerated transform parameters in frame 133, X: 52, Y: 1, S: 1, R: -3.2e-09
Exaggerated transform parameters in frame 134, X: 53, Y: 0.11, S: 1, R: 0.00036
Exaggerated transform parameters in frame 135, X: 49, Y: -0.95, S: 1, R: 0.00014
Exaggerated transform parameters in frame 136, X: 49, Y: -3, S: 1, R: -1.6e-09
Exaggerated transform parameters in frame 137, X: 50, Y: -4, S: 1, R: 5.4e-08
Exaggerated transform parameters in frame 138, X: 50, Y: -5, S: 1, R: 1.1e-07
Exaggerated transform parameters in frame 139, X: 51, Y: -6, S: 1, R: 2.9e-07
Exaggerated transform parameters in frame 140, X: 49, Y: -9, S: 1, R: 3.7e-07
Exaggerated transform parameters in frame 141, X: 48, Y: -12, S: 1, R: -6.9e-08
Exaggerated transform parameters in frame 142, X: 47, Y: -14, S: 1, R: -9.6e-08
Exaggerated transform parameters in frame 143, X: 47, Y: -16, S: 1, R: -0.0019
Exaggerated transform parameters in frame 144, X: 51, Y: -17, S: 1, R: -0.0008
Exaggerated transform parameters in frame 145, X: 50, Y: -17, S: 1, R: 7.2e-07
Exaggerated transform parameters in frame 146, X: 48, Y: -18, S: 1, R: 6.6e-07
Exaggerated transform parameters in frame 147, X: 48, Y: -18, S: 1, R: 0.00094
Exaggerated transform parameters in frame 155, X: 45, Y: -14, S: 1, R: -2.7e-09
Exaggerated transform parameters in frame 156, X: 49, Y: -19, S: 1, R: -0.00049
Exaggerated transform parameters in frame 157, X: 57, Y: -18, S: 1, R: -0.00033
Exaggerated transform parameters in frame 158, X: 54, Y: -17, S: 1, R: -1.3e-07
Exaggerated transform parameters in frame 159, X: 58, Y: -14, S: 1, R: -0.0011
Exaggerated transform parameters in frame 160, X: 56, Y: -17, S: 1, R: 6.1e-08
Exaggerated transform parameters in frame 161, X: 57, Y: -16, S: 1, R: -0.00012
Exaggerated transform parameters in frame 162, X: 53, Y: -16, S: 1, R: 2.3e-07
Exaggerated transform parameters in frame 163, X: 52, Y: -15, S: 1, R: -3.4e-07
Exaggerated transform parameters in frame 164, X: 51, Y: -14, S: 1, R: 8.7e-08
Exaggerated transform parameters in frame 165, X: 51, Y: -12, S: 1, R: 2.5e-07
Exaggerated transform parameters in frame 166, X: 49, Y: -11, S: 1, R: -0.00023
Exaggerated transform parameters in frame 167, X: 51, Y: -11, S: 1, R: 6.7e-07
Exaggerated transform parameters in frame 168, X: 47, Y: -11, S: 1, R: 0.001
Exaggerated transform parameters in frame 169, X: 48, Y: -9.4, S: 1, R: 5.6e-05
Exaggerated transform parameters in frame 170, X: 49, Y: -10, S: 1, R: -1e-06
Exaggerated transform parameters in frame 171, X: 45, Y: -9.6, S: 1, R: 0.00043
Exaggerated transform parameters in frame 172, X: 47, Y: -8.5, S: 1, R: -0.00023
Exaggerated transform parameters in frame 173, X: 47, Y: -8, S: 1, R: 7.7e-07
Exaggerated transform parameters in frame 174, X: 46, Y: -8, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 175, X: 45, Y: -8, S: 1, R: 1.3e-06
Exaggerated transform parameters in frame 176, X: 46, Y: -9, S: 1, R: 3.8e-08
Exaggerated transform parameters in frame 177, X: 47, Y: -10, S: 1, R: -3.5e-07
Exaggerated transform parameters in frame 178, X: 48, Y: -11, S: 1, R: 8.9e-07
Exaggerated transform parameters in frame 179, X: 48, Y: -11, S: 1, R: 8.9e-07
Exaggerated transform parameters in frame 180, X: 49, Y: -12, S: 1, R: 1.5e-06
Exaggerated transform parameters in frame 181, X: 48, Y: -11, S: 1, R: 8.9e-07
Exaggerated transform parameters in frame 182, X: 50, Y: -12, S: 1, R: 1.1e-06
Exaggerated transform parameters in frame 183, X: 49, Y: -12, S: 1, R: 1.5e-06
Exaggerated transform parameters in frame 184, X: 48, Y: -12, S: 1, R: -6.9e-08
Exaggerated transform parameters in frame 185, X: 48, Y: -12, S: 1, R: -6.9e-08
Exaggerated transform parameters in frame 186, X: 47, Y: -12, S: 1, R: -4.7e-08
Exaggerated transform parameters in frame 187, X: 46, Y: -12, S: 1, R: -8.8e-08
Exaggerated transform parameters in frame 188, X: 49, Y: -12, S: 1, R: 1.5e-06
Exaggerated transform parameters in frame 189, X: 48, Y: -11, S: 1, R: -0.00026
Exaggerated transform parameters in frame 190, X: 47, Y: -11, S: 1, R: 8.3e-07
Exaggerated transform parameters in frame 191, X: 47, Y: -11, S: 1, R: 8.3e-07
Exaggerated transform parameters in frame 202, X: -53, Y: -13, S: 1, R: 0.0093
Exaggerated transform parameters in frame 203, X: -64, Y: -6.9, S: 1, R: 0.0016
Exaggerated transform parameters in frame 204, X: -60, Y: -6, S: 1, R: 4.2e-05
Exaggerated transform parameters in frame 205, X: -60, Y: -3.8, S: 1, R: 1.7e-05
Exaggerated transform parameters in frame 206, X: -63, Y: -4.2, S: 1, R: 0.00037
Exaggerated transform parameters in frame 207, X: -57, Y: -3, S: 1, R: -3.5e-08
Exaggerated transform parameters in frame 208, X: -58, Y: -3.2, S: 1, R: 0.00017
Exaggerated transform parameters in frame 209, X: -60, Y: -3.1, S: 1, R: 1.8e-05
Exaggerated transform parameters in frame 210, X: -59, Y: -1.8, S: 1, R: 3.4e-05
Exaggerated transform parameters in frame 211, X: -60, Y: -2, S: 1, R: -0.00034
Exaggerated transform parameters in frame 212, X: -59, Y: -2.7, S: 1, R: -0.00057
Exaggerated transform parameters in frame 213, X: -58, Y: -1.7, S: 1, R: -0.00045
Exaggerated transform parameters in frame 214, X: -58, Y: -0.76, S: 1, R: -0.00022
Exaggerated transform parameters in frame 215, X: -53, Y: -1, S: 1, R: 4.4e-09
Exaggerated transform parameters in frame 216, X: -54, Y: -1.4, S: 1, R: 0.0012
Exaggerated transform parameters in frame 217, X: -53, Y: 1, S: 1, R: -4.4e-09
Exaggerated transform parameters in frame 218, X: -53, Y: 1, S: 1, R: -4.4e-09
Exaggerated transform parameters in frame 219, X: -54, Y: 2, S: 1, R: -9.5e-09
Exaggerated transform parameters in frame 220, X: -54, Y: 2, S: 1, R: -9.5e-09
Exaggerated transform parameters in frame 221, X: -54, Y: 1.8, S: 1, R: 0.00015
Exaggerated transform parameters in frame 222, X: -57, Y: 2, S: 1, R: -3.3e-09
Exaggerated transform parameters in frame 223, X: -52, Y: 2.2, S: 1, R: -7.1e-05
Exaggerated transform parameters in frame 224, X: -53, Y: 1.9, S: 1, R: 0.00014
Exaggerated transform parameters in frame 225, X: -65, Y: 4.1, S: 1, R: -0.0041
Exaggerated transform parameters in frame 226, X: -52, Y: 2.6, S: 1, R: -0.0014
Exaggerated transform parameters in frame 227, X: -56, Y: 1, S: 1, R: 4.6e-09
Exaggerated transform parameters in frame 228, X: -55, Y: 1, S: 1, R: 4.7e-09
Exaggerated transform parameters in frame 229, X: -56, Y: 1, S: 1, R: 4.6e-09
Exaggerated transform parameters in frame 230, X: -55, Y: 0.85, S: 1, R: 0.00037
Exaggerated transform parameters in frame 231, X: -55, Y: 3, S: 1, R: -2.2e-08
Exaggerated transform parameters in frame 232, X: -57, Y: 5, S: 1, R: 4.6e-09
Exaggerated transform parameters in frame 233, X: -56, Y: 5, S: 1, R: -4.3e-08
Exaggerated transform parameters in frame 234, X: -55, Y: 6.1, S: 1, R: -0.00015
Exaggerated transform parameters in frame 235, X: -54, Y: 12, S: 1, R: -0.0046
Exaggerated transform parameters in frame 236, X: -53, Y: 10, S: 1, R: -0.0027
Exaggerated transform parameters in frame 237, X: -53, Y: 7.8, S: 1, R: 0.00039
Exaggerated transform parameters in frame 238, X: -56, Y: 8.2, S: 1, R: 0.00029
Exaggerated transform parameters in frame 239, X: -54, Y: 9, S: 1, R: 6.9e-07
Exaggerated transform parameters in frame 240, X: -55, Y: 12, S: 1, R: 1.9e-06
Exaggerated transform parameters in frame 241, X: -55, Y: 14, S: 1, R: -1.3e-07
Exaggerated transform parameters in frame 242, X: -54, Y: 16, S: 1, R: 1.2e-05
Exaggerated transform parameters in frame 243, X: -56, Y: 18, S: 1, R: 3e-07
Exaggerated transform parameters in frame 244, X: -55, Y: 20, S: 1, R: 4e-07
Exaggerated transform parameters in frame 245, X: -59, Y: 22, S: 1, R: -0.00065
Exaggerated transform parameters in frame 246, X: -56, Y: 22, S: 1, R: -5.5e-06
Exaggerated transform parameters in frame 247, X: -57, Y: 24, S: 1, R: -0.00015
Exaggerated transform parameters in frame 248, X: -57, Y: 23, S: 1, R: 0.00075
Exaggerated transform parameters in frame 249, X: -57, Y: 23, S: 1, R: 0.00052
Exaggerated transform parameters in frame 250, X: -52, Y: 25, S: 1, R: 0.0002
Exaggerated transform parameters in frame 251, X: -56, Y: 24, S: 1, R: 0.00073
Exaggerated transform parameters in frame 252, X: -51, Y: 23, S: 1, R: 0.0034
Exaggerated transform parameters in frame 253, X: -55, Y: 23, S: 1, R: 0.0034
Exaggerated transform parameters in frame 254, X: -52, Y: 26, S: 1, R: 0.001
Exaggerated transform parameters in frame 255, X: -53, Y: 26, S: 1, R: 0.00017
Exaggerated transform parameters in frame 256, X: -54, Y: 25, S: 1, R: 9.8e-08
Exaggerated transform parameters in frame 257, X: -51, Y: 26, S: 1, R: -0.00074
Exaggerated transform parameters in frame 258, X: -51, Y: 25, S: 1, R: -1.3e-06
Exaggerated transform parameters in frame 259, X: -53, Y: 26, S: 1, R: 2.1e-06
Exaggerated transform parameters in frame 260, X: -53, Y: 27, S: 1, R: -1.7e-06
Exaggerated transform parameters in frame 261, X: -52, Y: 27, S: 1, R: 5.1e-08
Exaggerated transform parameters in frame 262, X: -52, Y: 27, S: 1, R: 5.1e-08
Exaggerated transform parameters in frame 263, X: -52, Y: 27, S: 1, R: 5.1e-08
Exaggerated transform parameters in frame 264, X: -52, Y: 27, S: 1, R: 5.1e-08
Exaggerated transform parameters in frame 265, X: -51, Y: 27, S: 1, R: 1.3e-06
Exaggerated transform parameters in frame 266, X: -52, Y: 26, S: 1, R: -2.2e-06
Exaggerated transform parameters in frame 267, X: -52, Y: 25, S: 1, R: -9.6e-07
Exaggerated transform parameters in frame 268, X: -52, Y: 24, S: 1, R: -5.1e-07
Exaggerated transform parameters in frame 269, X: -53, Y: 24, S: 1, R: -2.1e-06
Exaggerated transform parameters in frame 270, X: -52, Y: 24, S: 1, R: -5.1e-07
Exaggerated transform parameters in frame 271, X: -53, Y: 25, S: 1, R: -8.2e-08
Exaggerated transform parameters in frame 272, X: -54, Y: 25, S: 1, R: 9.8e-08
Exaggerated transform parameters in frame 273, X: -52, Y: 25, S: 1, R: -9.6e-07
Exaggerated transform parameters in frame 274, X: -53, Y: 25, S: 1, R: -8.2e-08
Exaggerated transform parameters in frame 275, X: -53, Y: 25, S: 1, R: -8.2e-08
Exaggerated transform parameters in frame 276, X: -54, Y: 24, S: 1, R: 4.6e-07
Exaggerated transform parameters in frame 277, X: -55, Y: 23, S: 1, R: 1e-08
Exaggerated transform parameters in frame 278, X: -55, Y: 21, S: 1, R: -2.1e-07
Exaggerated transform parameters in frame 279, X: -55, Y: 20, S: 1, R: 4e-07
Exaggerated transform parameters in frame 280, X: -58, Y: 18, S: 1, R: 1e-06
Exaggerated transform parameters in frame 281, X: -55, Y: 16, S: 1, R: 3e-07
Exaggerated transform parameters in frame 282, X: -55, Y: 14, S: 1, R: -1.3e-07
Exaggerated transform parameters in frame 283, X: -55, Y: 12, S: 1, R: 1.9e-06
Exaggerated transform parameters in frame 284, X: -53, Y: 11, S: 1, R: 0.00019
Exaggerated transform parameters in frame 285, X: -56, Y: 9, S: 1, R: 4.1e-05
Exaggerated transform parameters in frame 286, X: -55, Y: 7, S: 1, R: 2.5e-07
Exaggerated transform parameters in frame 287, X: -54, Y: 6, S: 1, R: -2.5e-07
Exaggerated transform parameters in frame 288, X: -55, Y: 5, S: 1, R: -2e-07
Exaggerated transform parameters in frame 289, X: -55, Y: 3.1, S: 1, R: -8.5e-05
Exaggerated transform parameters in frame 290, X: -55, Y: 3, S: 1, R: -2.2e-08
Exaggerated transform parameters in frame 291, X: -55, Y: 2, S: 1, R: -2.5e-09
Exaggerated transform parameters in frame 292, X: -55, Y: 1.7, S: 1, R: 0.00029
Exaggerated transform parameters in frame 293, X: -52, Y: 3.1, S: 1, R: -0.00023
Exaggerated transform parameters in frame 294, X: -50, Y: 4, S: 1, R: 5.4e-08
Exaggerated transform parameters in frame 295, X: -52, Y: 4, S: 1, R: -8.1e-09
Exaggerated transform parameters in frame 296, X: -53, Y: 4, S: 1, R: 3.3e-08
Exaggerated transform parameters in frame 297, X: -52, Y: 4, S: 1, R: -8.1e-09
Exaggerated transform parameters in frame 298, X: -52, Y: 5, S: 1, R: -1.8e-07
Exaggerated transform parameters in frame 299, X: -53, Y: 5, S: 1, R: -8e-08
Exaggerated transform parameters in frame 300, X: -53, Y: 5, S: 1, R: -8e-08
Exaggerated transform parameters in frame 301, X: -54, Y: 5, S: 1, R: 2.7e-08
Exaggerated transform parameters in frame 302, X: -55, Y: 5, S: 1, R: -2e-07
Exaggerated transform parameters in frame 303, X: -54, Y: 5, S: 1, R: 2.7e-08
Exaggerated transform parameters in frame 304, X: -54, Y: 5, S: 1, R: 2.7e-08
Exaggerated transform parameters in frame 305, X: -53, Y: 5, S: 1, R: -8e-08
Exaggerated transform parameters in frame 306, X: -57, Y: 5, S: 1, R: 4.6e-09
Exaggerated transform parameters in frame 307, X: -57, Y: 4.1, S: 1, R: -8.6e-05
Exaggerated transform parameters in frame 308, X: -55, Y: 3.2, S: 1, R: -0.00014
Exaggerated transform parameters in frame 309, X: -55, Y: 2, S: 1, R: -2.5e-09
Exaggerated transform parameters in frame 310, X: -56, Y: 1, S: 1, R: 4.6e-09
Exaggerated transform parameters in frame 311, X: -59, Y: 0.37, S: 1, R: -0.0014
Exaggerated transform parameters in frame 312, X: -54, Y: -1, S: 1, R: -1.1e-09
Exaggerated transform parameters in frame 313, X: -54, Y: -1, S: 1, R: -1.1e-09
Exaggerated transform parameters in frame 314, X: -53, Y: 0.27, S: 1, R: -0.00032
Exaggerated transform parameters in frame 315, X: -53, Y: 0.25, S: 1, R: 5e-05
Exaggerated transform parameters in frame 316, X: -52, Y: 0.51, S: 1, R: -0.00063
Exaggerated transform parameters in frame 317, X: -50, Y: 1.2, S: 1, R: -0.00068
Exaggerated transform parameters in frame 318, X: -52, Y: 2, S: 1, R: -0.0018
Exaggerated transform parameters in frame 319, X: -49, Y: 3.6, S: 0.99, R: -0.0028
Exaggerated transform parameters in frame 320, X: -51, Y: 4.9, S: 1, R: -0.0045
Exaggerated transform parameters in frame 321, X: -56, Y: 0.32, S: 1, R: -0.0014
Exaggerated transform parameters in frame 322, X: -54, Y: -4.8, S: 1, R: 0.0012
Exaggerated transform parameters in frame 323, X: -55, Y: -6.2, S: 1, R: 0.0026
Exaggerated transform parameters in frame 324, X: -53, Y: -11, S: 1, R: 0.0073
Exaggerated transform parameters in frame 325, X: -59, Y: -15, S: 1, R: 0.0082
Exaggerated transform parameters in frame 326, X: -55, Y: -12, S: 1, R: 0.0058
Exaggerated transform parameters in frame 327, X: -58, Y: -8, S: 1, R: 0.00049
Exaggerated transform parameters in frame 328, X: -51, Y: -5.6, S: 1, R: -0.00015
Exaggerated transform parameters in frame 329, X: -52, Y: -4, S: 1, R: 8.1e-09
Exaggerated transform parameters in frame 330, X: -55, Y: -4, S: 1, R: 1.1e-08
Exaggerated transform parameters in frame 331, X: -57, Y: -3.6, S: 1, R: 0.00037
Exaggerated transform parameters in frame 332, X: -55, Y: -3.6, S: 1, R: -0.00052
Exaggerated transform parameters in frame 333, X: -54, Y: -4.6, S: 1, R: -0.00045
Exaggerated transform parameters in frame 334, X: -51, Y: -3.3, S: 1, R: -0.0011
Exaggerated transform parameters in frame 336, X: -59, Y: -19, S: 1, R: 0.01
Exaggerated transform parameters in frame 337, X: -42, Y: -30, S: 1, R: 0.02
Invalid estimated transform error in frame 339
Invalid estimated transform error in frame 340
Exaggerated transform parameters in frame 341, X: 64, Y: -1.8, S: 0.95, R: -8.8e-05
Erroneous transform parameters in frame 342, X: 71, Y: 3.5, S: 0.95, R: -0.005
Exaggerated transform parameters in frame 343, X: 69, Y: 3.2, S: 0.95, R: -0.0065
Erroneous transform parameters in frame 344, X: 77, Y: 9.3, S: 0.95, R: -0.012
Erroneous transform parameters in frame 345, X: 82, Y: 9.9, S: 0.95, R: -0.01
Erroneous transform parameters in frame 346, X: 80, Y: 7.9, S: 0.95, R: -0.008
Erroneous transform parameters in frame 347, X: 75, Y: 8.2, S: 0.95, R: -0.011
Exaggerated transform parameters in frame 348, X: 30, Y: 30, S: 1.1, R: -0.096
Exaggerated transform parameters in frame 349, X: 65, Y: 28, S: 1.1, R: -0.044
Erroneous transform parameters in frame 350, X: 92, Y: 42, S: 1, R: -0.056
Erroneous transform parameters in frame 351, X: 1.3e+02, Y: 72, S: 0.92, R: -0.11
Erroneous transform parameters in frame 352, X: 71, Y: 26, S: 1, R: -0.035
Exaggerated transform parameters in frame 353, X: 63, Y: 25, S: 1, R: -0.033
Exaggerated transform parameters in frame 354, X: 67, Y: 28, S: 1, R: -0.03
Exaggerated transform parameters in frame 355, X: 60, Y: 25, S: 1, R: -0.024
Exaggerated transform parameters in frame 356, X: 56, Y: 25, S: 1, R: -0.021
Exaggerated transform parameters in frame 357, X: 53, Y: 23, S: 1, R: -0.015
Exaggerated transform parameters in frame 358, X: 48, Y: 21, S: 1, R: -0.01
Exaggerated transform parameters in frame 359, X: 46, Y: 21, S: 1, R: -0.0092
Erroneous transform parameters in frame 360, X: 96, Y: 25, S: 0.91, R: 0.019
Measurement of stabilizing video number: 0 with name: Crowd/0.avi
Cropping ratio: 0.97
Distortion value: 0.91
Stability score: 0.92
X translation stability score: 0.92
Y translation stability score: 0.99
Rotation stability score: 0.95
Stabilizing video number: 1 with name: Crowd/1.avi
Exaggerated transform parameters in frame 12, X: -45, Y: 29, S: 0.99, R: -0.0079
Exaggerated transform parameters in frame 13, X: -46, Y: 30, S: 0.99, R: -0.0068
Exaggerated transform parameters in frame 18, X: -48, Y: 13, S: 0.96, R: 0.039
Exaggerated transform parameters in frame 19, X: -47, Y: 11, S: 0.95, R: 0.045
Exaggerated transform parameters in frame 20, X: -49, Y: 11, S: 0.95, R: 0.046
Exaggerated transform parameters in frame 21, X: -47, Y: 13, S: 0.95, R: 0.044
Exaggerated transform parameters in frame 22, X: -47, Y: 15, S: 0.94, R: 0.04
Exaggerated transform parameters in frame 24, X: -51, Y: 23, S: 0.94, R: 0.023
Exaggerated transform parameters in frame 25, X: -45, Y: 25, S: 0.93, R: 0.022
Exaggerated transform parameters in frame 26, X: -47, Y: 27, S: 0.93, R: 0.019
Exaggerated transform parameters in frame 27, X: -50, Y: 29, S: 0.94, R: 0.012
Exaggerated transform parameters in frame 28, X: -49, Y: 30, S: 0.94, R: 0.01
Exaggerated transform parameters in frame 29, X: -49, Y: 29, S: 0.94, R: 0.011
Exaggerated transform parameters in frame 30, X: -50, Y: 27, S: 0.95, R: 0.015
Exaggerated transform parameters in frame 31, X: -49, Y: 26, S: 0.95, R: 0.018
Exaggerated transform parameters in frame 32, X: -51, Y: 23, S: 0.95, R: 0.019
Exaggerated transform parameters in frame 33, X: -50, Y: 22, S: 0.95, R: 0.024
Exaggerated transform parameters in frame 34, X: -51, Y: 21, S: 0.96, R: 0.023
Exaggerated transform parameters in frame 35, X: -51, Y: 22, S: 0.96, R: 0.014
Exaggerated transform parameters in frame 36, X: -50, Y: 22, S: 0.96, R: 0.007
Exaggerated transform parameters in frame 37, X: -51, Y: 21, S: 0.96, R: -0.0063
Exaggerated transform parameters in frame 38, X: -49, Y: 13, S: 0.97, R: -0.0016
Exaggerated transform parameters in frame 39, X: -50, Y: 9, S: 0.98, R: -0.0042
Exaggerated transform parameters in frame 40, X: -49, Y: 2.2, S: 0.99, R: 0.00029
Exaggerated transform parameters in frame 41, X: -50, Y: -0.95, S: 1, R: 0.00057
Exaggerated transform parameters in frame 42, X: -47, Y: -1.5, S: 1, R: 0.008
Exaggerated transform parameters in frame 43, X: -51, Y: 0.81, S: 1, R: 0.005
Exaggerated transform parameters in frame 44, X: -50, Y: 7, S: 1, R: 4.1e-07
Exaggerated transform parameters in frame 45, X: -49, Y: 13, S: 1, R: 2.5e-06
Exaggerated transform parameters in frame 46, X: -49, Y: 20, S: 1, R: 7.4e-07
Exaggerated transform parameters in frame 47, X: -49, Y: 27, S: 1, R: -0.006
Exaggerated transform parameters in frame 48, X: -49, Y: 33, S: 0.99, R: -0.012
Exaggerated transform parameters in frame 49, X: -48, Y: 35, S: 0.99, R: -0.015
Exaggerated transform parameters in frame 50, X: -46, Y: 35, S: 0.99, R: -0.015
Exaggerated transform parameters in frame 51, X: -45, Y: 34, S: 0.98, R: -0.014
Exaggerated transform parameters in frame 52, X: -45, Y: 32, S: 0.98, R: -0.01
Exaggerated transform parameters in frame 53, X: -44, Y: 31, S: 0.98, R: -0.0056
Exaggerated transform parameters in frame 54, X: -44, Y: 31, S: 0.97, R: -0.0035
Exaggerated transform parameters in frame 55, X: -45, Y: 32, S: 0.97, R: -0.00065
Exaggerated transform parameters in frame 56, X: -47, Y: 32, S: 0.97, R: -0.003
